Name,Description,Latitude,Longitude,InfoURL,ImageURL,,,,,,
UCSB,A great university located along the California Coast!,34.416929,-119.845991,https://en.wikipedia.org/wiki/University_of_California_Santa_Barbara,https://www.physics.ucsb.edu/sites/secure.lsit.ucsb.edu.phys.d7/files/sitefiles/giving/UCSBcampus.jpg,,,,,,
Arroyo Pool,"A small pool located in Davis, CA. The swim team and water polo team practice there.",38.55444444,-121.7744444,https://localwiki.org/davis/Arroyo_Pool,https://charlietested.files.wordpress.com/2013/06/arroyo-pool-blog.jpg,,,,,,
Jordan-Hare Stadium,A very large football stadium located in Aubrun Alabama; during games it is packed with thousands of people.,32.60166667,-85.48888889,https://auburntigers.com/facilities/jordan-hare-stadium/11,https://upload.wikimedia.org/wikipedia/commons/c/cd/Jordan-Hare_Stadium_west.jpg,,,,,,
Golden Gate Bridge,"A large, famous bridge located in San Fransisco. It is known for its stunning architecture. ",37.82000001,-122.480006,https://www.goldengate.org,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/GoldenGateBridge-001.jpg/2560px-GoldenGateBridge-001.jpg,,,,,,
Breakpointe Apartments ,A small apartment complex located in Isla Vista; it is the home of UCSB and SBCC students.,34.41444444,-119.8619444,https://www.breakpointeandcoronado.com,https://medialibrarycf.entrata.com/15027/MLv3/5/29/2022/06/08/104148/62a0d14c1d28b2.61622141877.jpg,,,,,,
Grand Cayon National Park,"A very large, famous, and beautiful National Park located in Arizona. It is an orange canyon that people like to hike in. ",36.10916667,-112.1419444,https://www.nps.gov/grca/index.htm,https://www.nps.gov/common/uploads/banner_image/imr/homepage/06B040FE-A1D3-7321-877B53200B59C085.jpg,,,,,,
